COURSE NUMBER,OFFICIAL ALBERT COURSE NAME,GCAL Abbreviation,DEPT,,
,The 14th Century - When Europe Was Transformed,AHS: The 14th Century - When Europe Was Transformed,ADVANCED HONORS SEMINAR,,
,Anthropology of Europe,Anthropology of Europe,ANTHROPOLOGY,,
,Anthropology of Language,Anthropology of Language,ANTHROPOLOGY,,
,Anthropology of Religion,Anthropology of Religion,ANTHROPOLOGY,,
,Archaeology: Early Societies & Culture,Archaeology: Early Societies and Culture,ANTHROPOLOGY,,
,Human Rights & Culture,Human Rights and Culture,ANTHROPOLOGY,,
,Human Society & Culture,Human Society and Culture,ANTHROPOLOGY,,
,Introduction to Anthropology,Intro to Anthropology,ANTHROPOLOGY,,
,History of Western Art I,History of Western Art I,ART HISTORY,,
,History of Western Art II,History of Western Art II,ART HISTORY,,
,Romanesque Art,Romanesque Art,ART HISTORY,,
BIOL-UA 11,Principles of Biology I,Bio I,Biology,,
BIOL-UA 12,Principles of Biology II,Bio II,Biology,,
,Principles of Biology Laboratory,Principles of Bio Lab,Biology,,
,Biostatistics,Biostats,Biology,,
UGPH,Biostatistics for Public Health,Biostats for Public Health,,,
,Biostatistics and Human Genetics,Biostats & Human Genetics,Biology,,
,Genetics,Genetics,Biology,,
BIOL-UA 21,Molecular and Cell Biology I,Molec Cell I,Biology,,
BIOL-UA 22,Molecular and Cell Biology II,Molec Cell II,Biology,,
,Principles of Animal Physiology,Principles of Animal Physiology,Biology,,
,Quantitative Methods in Human Genetics,Quantitative Methods in Human Genetics,Biology,,
,Gene Structure and Function,Gene Structure and Function,Biology,,
,ATB: Genetics & Genomics,Genetics and Genomics,Biology,,
,Immunology,Immunology,Biology,,
,Special Topics in Biochemistry,Special Topics in Biochemistry,Chemistry,,
,Accelerated General Chemistry,Accelerated General Chemistry,Chemistry,,
,Biochemistry I,Biochem I,Chemistry,,
,Biochemistry II,Biochem II,Chemistry,,
,Experimental Biochem and Laboratory,Experimental Biochem,Chemistry,,
,,Protein Biochem,,,
CHEM-UA 125,General Chemistry I,Gen Chem I,Chemistry,,
CHEM-UA 126,General Chemistry II,Gen Chem II,Chemistry,,
,Advanced General Chemistry,Gen Chem (Advanced),,,
CHEM-UA 225,Organic Chemistry I,Orgo I,Chemistry,,
CHEM-UA 226,Organic Chemistry II,Orgo II,Chemistry,,
,Majors Organic Chemistry I,Orgo I (Majors),,,
,Majors Organic Chemistry II,Orgo II (Majors),,,
,Inorganic Chemistry,Inorganic Chemistry,,,
,Physical Chemistry Laboratory,PChem Lab,Chemistry,,
,Physical Chemistry: Quantum Mechanics and Spectroscopy,PChem Quantum Mechanics,Chemistry,,
,Physical Chemistry: Thermodynamics and Kinetics,PChem Thermodynamics ,Chemistry,,
,Mathematics of Chemistry,Math for Chem,Chemistry,,
,"included ""(Advanced)"" where necessary",,Chemistry,,
,"Included ""(Majors)"" where necessary",,Chemistry,,
,Introduction to Psychopathology,Intro to Psychopathology,Child and Adolescent Mental Health Studies (CAMS),,
,The Science of Happiness,The Science of Happiness,Child and Adolescent Mental Health Studies (CAMS),,
,The Science and Psychology of Marijuana,The Science of Marijuana,Child and Adolescent Mental Health Studies (CAMS),,
,Cultural Perspectives on Mental Health & Illness,Cultural Perspectives on Mental Health & Illness,Child and Adolescent Mental Health Studies (CAMS),,
,Children of Divorce,Children of Divorce,Child and Adolescent Mental Health Studies (CAMS),,
,Computer Systems Organization,Computer Systems Org,COMPUTER SCIENCE,,
,Intro to Computer Programming,Intro to Computer Programming,COMPUTER SCIENCE,,
,Intro to Computer Science,Intro to Comp Sci,COMPUTER SCIENCE,,
,Introduction to Machine Learning,Intro to Machine Learning,COMPUTER SCIENCE,,
,Data Structures,Data Structures,COMPUTER SCIENCE,,
,Intro to Web Design and Computer Principles,Intro to Web Design,COMPUTER SCIENCE,,
,Operating Systems,Operating Systems,COMPUTER SCIENCE,,
,Narrative Texts in Classical Chinese,Narrative Texts in Classical Chinese,EAST ASISN STUDIES,,
,Analytical Statistics,Analytical Stats,ECONOMICS,,
ECON-UA 18,Statistics,Econ Stats,ECONOMICS,,
,Economics of Global Business,Economics of Global Business,ECONOMICS,,
